fipsst,nchs_state,nchs_county,fips,statename,countyname,superfips
1,1,1,1001,ALABAMA,AUTAUGA,1001
1,1,2,1003,ALABAMA,BALDWIN,1003
1,1,3,1005,ALABAMA,BARBOUR,1005
1,1,4,1007,ALABAMA,BIBB,1007
1,1,5,1009,ALABAMA,BLOUNT,1009
1,1,6,1011,ALABAMA,BULLOCK,1011
1,1,7,1013,ALABAMA,BUTLER,1013
1,1,8,1015,ALABAMA,CALHOUN,1015
1,1,9,1017,ALABAMA,CHAMBERS,1017
1,1,10,1019,ALABAMA,CHEROKEE,1019
1,1,11,1021,ALABAMA,CHILTON,1021
1,1,12,1023,ALABAMA,CHOCTAW,1023
1,1,13,1025,ALABAMA,CLARKE,1025
1,1,14,1027,ALABAMA,CLAY,1027
1,1,15,1029,ALABAMA,CLEBURNE,1029
1,1,16,1031,ALABAMA,COFFEE,1031
1,1,17,1033,ALABAMA,COLBERT,1033
1,1,18,1035,ALABAMA,CONECUH,1035
1,1,19,1037,ALABAMA,COOSA,1037
1,1,20,1039,ALABAMA,COVINGTON,1039
1,1,21,1041,ALABAMA,CRENSHAW,1041
1,1,22,1043,ALABAMA,CULLMAN,1043
1,1,23,1045,ALABAMA,DALE,1045
1,1,24,1047,ALABAMA,DALLAS,1047
1,1,25,1049,ALABAMA,DE KALB,1049
1,1,26,1051,ALABAMA,ELMORE,1051
1,1,27,1053,ALABAMA,ESCAMBIA,1053
1,1,28,1055,ALABAMA,ETOWAH,1055
1,1,29,1057,ALABAMA,FAYETTE,1057
1,1,30,1059,ALABAMA,FRANKLIN,1059
1,1,31,1061,ALABAMA,GENEVA,1061
1,1,32,1063,ALABAMA,GREENE,1063
1,1,33,1065,ALABAMA,HALE,1065
1,1,34,1067,ALABAMA,HENRY,1067
1,1,35,1069,ALABAMA,HOUSTON,1069
1,1,36,1071,ALABAMA,JACKSON,1071
1,1,37,1073,ALABAMA,JEFFERSON,1073
1,1,38,1075,ALABAMA,LAMAR,1075
1,1,39,1077,ALABAMA,LAUDERDALE,1077
1,1,40,1079,ALABAMA,LAWRENCE,1079
1,1,41,1081,ALABAMA,LEE,1081
1,1,42,1083,ALABAMA,LIMESTONE,1083
1,1,43,1085,ALABAMA,LOWNDES,1085
1,1,44,1087,ALABAMA,MACON,1087
1,1,45,1089,ALABAMA,MADISON,1089
1,1,46,1091,ALABAMA,MARENGO,1091
1,1,47,1093,ALABAMA,MARION,1093
1,1,48,1095,ALABAMA,MARSHALL,1095
1,1,49,1097,ALABAMA,MOBILE,1097
1,1,50,1099,ALABAMA,MONROE,1099
1,1,51,1101,ALABAMA,MONTGOMERY,1101
1,1,52,1103,ALABAMA,MORGAN,1103
1,1,53,1105,ALABAMA,PERRY,1105
1,1,54,1107,ALABAMA,PICKENS,1107
1,1,55,1109,ALABAMA,PIKE,1109
1,1,56,1111,ALABAMA,RANDOLPH,1111
1,1,57,1113,ALABAMA,RUSSELL,1113
1,1,58,1115,ALABAMA,ST. CLAIR,1115
1,1,59,1117,ALABAMA,SHELBY,1117
1,1,60,1119,ALABAMA,SUMTER,1119
1,1,61,1121,ALABAMA,TALLADEGA,1121
1,1,62,1123,ALABAMA,TALLAPOOSA,1123
1,1,63,1125,ALABAMA,TUSCALOOSA,1125
1,1,64,1127,ALABAMA,WALKER,1127
1,1,65,1129,ALABAMA,WASHINGTON,1129
1,1,66,1131,ALABAMA,WILCOX,1131
1,1,67,1133,ALABAMA,WINSTON,1133
2,2,1,2010,ALASKA,ALASKA,2900
2,2,2,2020,ALASKA,ALASKA,2900
2,2,3,2050,ALASKA,ALASKA,2900
2,2,4,2060,ALASKA,ALASKA,2900
2,2,5,2070,ALASKA,ALASKA,2900
2,2,6,2090,ALASKA,ALASKA,2900
2,2,7,2100,ALASKA,ALASKA,2900
2,2,8,2110,ALASKA,ALASKA,2900
2,2,9,2122,ALASKA,ALASKA,2900
2,2,10,2130,ALASKA,ALASKA,2900
2,2,11,2140,ALASKA,ALASKA,2900
2,2,12,2150,ALASKA,ALASKA,2900
2,2,13,2170,ALASKA,ALASKA,2900
2,2,14,2180,ALASKA,ALASKA,2900
2,2,15,2185,ALASKA,ALASKA,2900
2,2,16,2201,ALASKA,ALASKA,2900
2,2,17,2220,ALASKA,ALASKA,2900
2,2,18,2231,ALASKA,ALASKA,2900
2,2,19,2240,ALASKA,ALASKA,2900
2,2,20,2261,ALASKA,ALASKA,2900
2,2,21,2270,ALASKA,ALASKA,2900
2,2,22,2280,ALASKA,ALASKA,2900
2,2,23,2290,ALASKA,ALASKA,2900
4,3,1,4001,ARIZONA,APACHE,4001
4,3,2,4003,ARIZONA,COCHISE,4003
4,3,3,4005,ARIZONA,COCONINO,4005
4,3,4,4007,ARIZONA,GILA,4007
4,3,5,4009,ARIZONA,GRAHAM,4009
4,3,6,4011,ARIZONA,GREENLEE,4011
4,3,,4012,ARIZONA,LA PAZ,4910
4,3,7,4013,ARIZONA,MARICOPA,4013
4,3,8,4015,ARIZONA,MOHAVE,4015
4,3,9,4017,ARIZONA,NAVAJO,4017
4,3,10,4019,ARIZONA,PIMA,4019
4,3,11,4021,ARIZONA,PINAL,4021
4,3,12,4023,ARIZONA,SANTA CRUZ,4023
4,3,13,4025,ARIZONA,YAVAPAI,4025
4,3,14,4027,ARIZONA,YUMA,4910
5,4,1,5001,ARKANSAS,ARKANSAS,5001
5,4,2,5003,ARKANSAS,ASHLEY,5003
5,4,3,5005,ARKANSAS,BAXTER,5005
5,4,4,5007,ARKANSAS,BENTON,5007
5,4,5,5009,ARKANSAS,BOONE,5009
5,4,6,5011,ARKANSAS,BRADLEY,5011
5,4,7,5013,ARKANSAS,CALHOUN,5013
5,4,8,5015,ARKANSAS,CARROLL,5015
5,4,9,5017,ARKANSAS,CHICOT,5017
5,4,10,5019,ARKANSAS,CLARK,5019
5,4,11,5021,ARKANSAS,CLAY,5021
5,4,12,5023,ARKANSAS,CLEBURNE,5023
5,4,13,5025,ARKANSAS,CLEVELAND,5025
5,4,14,5027,ARKANSAS,COLUMBIA,5027
5,4,15,5029,ARKANSAS,CONWAY,5029
5,4,16,5031,ARKANSAS,CRAIGHEAD,5031
5,4,17,5033,ARKANSAS,CRAWFORD,5033
5,4,18,5035,ARKANSAS,CRITTENDEN,5035
5,4,19,5037,ARKANSAS,CROSS,5037
5,4,20,5039,ARKANSAS,DALLAS,5039
5,4,21,5041,ARKANSAS,DESHA,5041
5,4,22,5043,ARKANSAS,DREW,5043
5,4,23,5045,ARKANSAS,FAULKNER,5045
5,4,24,5047,ARKANSAS,FRANKLIN,5047
5,4,25,5049,ARKANSAS,FULTON,5049
5,4,26,5051,ARKANSAS,GARLAND,5051
5,4,27,5053,ARKANSAS,GRANT,5053
5,4,28,5055,ARKANSAS,GREENE,5055
5,4,29,5057,ARKANSAS,HEMPSTEAD,5057
5,4,30,5059,ARKANSAS,HOT SPRING,5059
5,4,31,5061,ARKANSAS,HOWARD,5061
5,4,32,5063,ARKANSAS,INDEPENDENCE,5063
5,4,33,5065,ARKANSAS,IZARD,5065
5,4,34,5067,ARKANSAS,JACKSON,5067
5,4,35,5069,ARKANSAS,JEFFERSON,5069
5,4,36,5071,ARKANSAS,JOHNSON,5071
5,4,37,5073,ARKANSAS,LAFAYETTE,5073
5,4,38,5075,ARKANSAS,LAWRENCE,5075
5,4,39,5077,ARKANSAS,LEE,5077
5,4,40,5079,ARKANSAS,LINCOLN,5079
5,4,41,5081,ARKANSAS,LITTLE RIVER,5081
5,4,42,5083,ARKANSAS,LOGAN,5083
5,4,43,5085,ARKANSAS,LONOKE,5085
5,4,44,5087,ARKANSAS,MADISON,5087
5,4,45,5089,ARKANSAS,MARION,5089
5,4,46,5091,ARKANSAS,MILLER,5091
5,4,47,5093,ARKANSAS,MISSISSIPPI,5093
5,4,48,5095,ARKANSAS,MONROE,5095
5,4,49,5097,ARKANSAS,MONTGOMERY,5097
5,4,50,5099,ARKANSAS,NEVADA,5099
5,4,51,5101,ARKANSAS,NEWTON,5101
5,4,52,5103,ARKANSAS,OUACHITA,5103
5,4,53,5105,ARKANSAS,PERRY,5105
5,4,54,5107,ARKANSAS,PHILLIPS,5107
5,4,55,5109,ARKANSAS,PIKE,5109
5,4,56,5111,ARKANSAS,POINSETT,5111
5,4,57,5113,ARKANSAS,POLK,5113
5,4,58,5115,ARKANSAS,POPE,5115
5,4,59,5117,ARKANSAS,PRAIRIE,5117
5,4,60,5119,ARKANSAS,PULASKI,5119
5,4,61,5121,ARKANSAS,RANDOLPH,5121
5,4,62,5123,ARKANSAS,ST. FRANCIS,5123
5,4,63,5125,ARKANSAS,SALINE,5125
5,4,64,5127,ARKANSAS,SCOTT,5127
5,4,65,5129,ARKANSAS,SEARCY,5129
5,4,66,5131,ARKANSAS,SEBASTIAN,5131
5,4,67,5133,ARKANSAS,SEVIER,5133
5,4,68,5135,ARKANSAS,SHARP,5135
5,4,69,5137,ARKANSAS,STONE,5137
5,4,70,5139,ARKANSAS,UNION,5139
5,4,71,5141,ARKANSAS,VAN BUREN,5141
5,4,72,5143,ARKANSAS,WASHINGTON,5143
5,4,73,5145,ARKANSAS,WHITE,5145
5,4,74,5147,ARKANSAS,WOODRUFF,5147
5,4,75,5149,ARKANSAS,YELL,5149
6,5,1,6001,CALIFORNIA,ALAMEDA,6001
6,5,2,6003,CALIFORNIA,ALPINE,6003
6,5,3,6005,CALIFORNIA,AMADOR,6005
6,5,4,6007,CALIFORNIA,BUTTE,6007
6,5,5,6009,CALIFORNIA,CALAVERAS,6009
6,5,6,6011,CALIFORNIA,COLUSA,6011
6,5,7,6013,CALIFORNIA,CONTRA COSTA,6013
6,5,8,6015,CALIFORNIA,DEL NORTE,6015
6,5,9,6017,CALIFORNIA,EL DORADO,6017
6,5,10,6019,CALIFORNIA,FRESNO,6019
6,5,11,6021,CALIFORNIA,GLENN,6021
6,5,12,6023,CALIFORNIA,HUMBOLDT,6023
6,5,13,6025,CALIFORNIA,IMPERIAL,6025
6,5,14,6027,CALIFORNIA,INYO,6027
6,5,15,6029,CALIFORNIA,KERN,6029
6,5,16,6031,CALIFORNIA,KINGS,6031
6,5,17,6033,CALIFORNIA,LAKE,6033
6,5,18,6035,CALIFORNIA,LASSEN,6035
6,5,19,6037,CALIFORNIA,LOS ANGELES,6037
6,5,20,6039,CALIFORNIA,MADERA,6039
6,5,21,6041,CALIFORNIA,MARIN,6041
6,5,22,6043,CALIFORNIA,MARIPOSA,6043
6,5,23,6045,CALIFORNIA,MENDOCINO,6045
6,5,24,6047,CALIFORNIA,MERCED,6047
6,5,25,6049,CALIFORNIA,MODOC,6049
6,5,26,6051,CALIFORNIA,MONO,6051
6,5,27,6053,CALIFORNIA,MONTEREY,6053
6,5,28,6055,CALIFORNIA,NAPA,6055
6,5,29,6057,CALIFORNIA,NEVADA,6057
6,5,30,6059,CALIFORNIA,ORANGE,6059
6,5,31,6061,CALIFORNIA,PLACER,6061
6,5,32,6063,CALIFORNIA,PLUMAS,6063
6,5,33,6065,CALIFORNIA,RIVERSIDE,6065
6,5,34,6067,CALIFORNIA,SACRAMENTO,6067
6,5,35,6069,CALIFORNIA,SAN BENITO,6069
6,5,36,6071,CALIFORNIA,SAN BERNARDINO,6071
6,5,37,6073,CALIFORNIA,SAN DIEGO,6073
6,5,38,6075,CALIFORNIA,SAN FRANCISCO,6075
6,5,39,6077,CALIFORNIA,SAN JOAQUIN,6077
6,5,40,6079,CALIFORNIA,SAN LUIS OBISPO,6079
6,5,41,6081,CALIFORNIA,SAN MATEO,6081
6,5,42,6083,CALIFORNIA,SANTA BARBARA,6083
6,5,43,6085,CALIFORNIA,SANTA CLARA,6085
6,5,44,6087,CALIFORNIA,SANTA CRUZ,6087
